Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),WG modifier (%),Active (),Slowest Wheel (km/h),Fastest Wheel (km/h),Wheel Slip (km/h),P (),I (),D (),PID (),WG pull (%),Ignition pull (km/h),Slip ramp (km/h),Slip target (km/h),RPM Limit Off (rpm),RPM Limit Soft (rpm),RPM Limit Medium (rpm),RPM Limit Hard (rpm),Cut type (rpm),Cut pattern (rpm),Cut position (rpm),Wheel Angle (),SimosTools [R1.00:2023_3_1:SL 29.33 HSL CBRICK SWG is38.bin]
886.104,1.7736433,2.0122883,0.56475717,0.6299937,91.83122,0.0,14.49784,2.6883643,285.25262,104.38317,0.0,97.74432,0.0,0.0,446.625,180.0,2482.0,8.627451,-13.125,0.2954712,127.56861,18622.877,18627.123,1100.0834,499.89316,38.362553,42.55912,0.0,4.1220207,3.0,56.811523,16.541367,13.499983,-27.749964,2.56,0.0,-22.59375,0.28271484,0.0,0.0,0.0,0.0,0.0,1.0029297,0.99902344,57.377625,3.9062495,111.19011,120.73276,0.0,86.99999,43.554688,1.0,112.32837,120.81083,487.5,649.875,0.32886684,50.15625,0.0,212.75,71.42428,41.99998,70.05005,1.0,37.25,84.8125,0.48217773,13.253784,58.843994,71.51337,2.5878906,-9.997559,0.0,36.1,38.13,2.0300026,-5.28,0.0,-0.8,0.0,0.0,0.0,0.0,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.04379,0
886.123,1.7589147,1.9486654,0.5686214,0.62541556,91.83122,0.0,14.496144,2.8085294,279.49152,97.33379,0.0,97.74432,0.0,0.0,447.0,180.0,2359.0,8.627451,-12.75,0.2904663,126.89698,18724.768,18715.746,1100.0834,499.89316,38.40494,43.830807,0.0,4.2351165,3.0,56.70929,16.541367,12.374984,-14.999981,2.592,0.0,-22.539062,0.25299072,0.0,0.0,0.0,0.0,0.0,0.99609375,0.99902344,57.196045,3.9062495,111.3503,119.75231,0.0,86.99999,43.554688,1.0,112.67663,120.70304,487.875,649.875,0.26309347,122.84375,0.0,210.78125,70.95745,41.99998,69.41528,1.0,37.95,75.90625,0.5157471,12.939453,61.419678,73.85101,2.536621,-9.997559,0.0,36.08,37.69,1.6099968,-5.66,0.0,-0.4,0.0,0.0,0.0,0.0,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.496914,0
886.144,1.7471318,1.9794662,0.5827882,0.63584346,91.83122,0.0,14.494957,2.83177,275.86172,91.3088,0.0,97.74432,0.0,0.0,447.0,185.25,2154.0,8.627451,-12.5625,0.2836914,125.95172,18896.705,18825.594,1100.0834,499.89316,39.930965,44.890545,0.0,4.169343,3.0,57.437134,16.466177,10.499987,-8.2499895,2.592,0.0,-22.53125,0.21697998,0.0,0.0,0.0,0.0,0.0,0.99316406,1.0,57.104492,3.9062495,112.97845,120.86298,0.0,86.99999,43.554688,1.0,114.06964,120.711334,487.875,649.875,0.21047477,161.1875,0.0,212.9375,69.09016,41.99998,69.73877,1.0,37.62,65.09375,0.55236816,11.221313,65.77759,76.460266,2.5854492,-9.997559,0.0,36.42,37.7,1.2800026,-5.97,0.0,0.08,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.950037,0
886.163,1.6977054,2.0480366,0.5912881,0.63609767,91.83122,0.0,14.45897,3.067976,283.1178,85.56696,0.0,97.74432,0.0,0.0,449.625,197.625,2105.0,8.627451,-11.4921875,0.2802124,125.08938,18862.742,18934.912,1100.0834,499.89316,42.537926,46.310596,0.0,4.1167245,3.0,58.88977,16.398506,10.124987,8.2499895,2.668,0.0,-22.414062,0.20996094,0.0,0.0,0.0,0.0,0.0,0.99316406,1.0,56.91986,3.9062495,113.5788,120.24202,0.0,86.99999,43.554688,1.0,114.89881,120.65329,484.875,649.875,0.16837983,199.4375,0.0,212.0625,61.15412,41.99998,70.581055,1.0,37.5,63.0,0.5950928,8.792114,66.796875,75.02594,2.7246094,-9.997559,0.0,36.54,38.18,1.6399994,-5.58,0.0,-0.08,0.0,0.0,0.0,0.0,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.446913,0
886.183,1.6581643,2.1317146,0.59853,0.64088774,91.83122,0.0,14.480654,3.155073,289.63272,85.54467,0.0,97.74432,0.0,0.0,449.625,205.5,2068.0,8.627451,-10.8671875,0.27764893,124.28508,18873.355,19019.29,1100.0834,499.89316,44.148727,46.967632,0.0,4.0746293,3.0,59.79767,16.337603,9.749988,7.87499,2.668,0.0,-22.078125,0.20812988,0.0,0.0,0.0,0.0,0.0,0.99609375,1.0,56.932068,3.9062495,114.20045,120.46535,0.0,86.99999,43.75,1.0,115.49583,120.65329,484.875,649.875,0.13470386,202.0,0.0,212.6875,62.087772,41.99998,71.258545,1.0,38.04,62.4375,0.6225586,6.9488525,67.58423,73.93036,2.5439453,-9.997559,0.0,36.61,38.12,1.5099983,-5.69,0.0,-0.24,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.00941,0
886.203,1.6065314,2.165186,0.60666823,0.6520785,91.83122,0.0,14.501692,3.24526,296.21194,85.950096,0.0,97.74432,0.0,0.0,449.625,205.125,2026.0,8.627451,-10.359375,0.26989746,122.999855,18901.48,19044.232,1100.0834,499.89316,45.695946,47.17958,0.0,4.040953,3.0,60.717773,16.28279,9.374988,7.124991,2.668,0.0,-21.726562,0.2156372,0.0,0.0,0.0,0.0,0.0,0.9980469,1.0,56.915283,3.9062495,115.127144,121.95766,0.0,86.99999,44.23828,1.0,116.37474,121.41613,484.875,649.875,0.10776309,203.65625,0.0,215.34375,59.753647,41.99998,72.2168,1.0,37.97,64.6875,0.6500244,6.0913086,68.811035,74.15619,2.7807617,-9.997559,0.0,36.65,38.31,1.6599998,-5.51,0.0,0.08,0.0,0.0,0.0,0.0,7.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.550035,0
886.223,1.5652251,2.1785743,0.608085,0.6638205,91.83122,0.0,14.481262,3.3797026,296.41074,84.260994,0.0,97.74432,0.0,0.0,446.625,204.75,2009.0,8.627451,-9.9296875,0.2701416,123.28178,18887.684,19075.541,1100.0834,499.89316,47.07361,47.83662,0.0,4.014013,3.0,61.853027,16.233458,9.374988,6.7499914,2.844,0.0,-20.875,0.22052002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.90155,3.9062495,115.32244,123.68523,0.0,86.99999,44.921875,1.0,116.63179,123.01644,482.25,649.875,0.086210474,203.5,0.0,218.96875,60.687298,41.99998,72.3938,1.0,38.17,66.15625,0.68359375,7.3242188,69.87305,76.42975,2.770996,-9.997559,0.0,36.77,38.62,1.8499985,-5.29,0.0,0.48,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.04691,0
886.243,1.5121801,2.1839297,0.6096518,0.6738244,91.83122,0.0,14.490399,3.4080355,296.58588,83.60334,0.0,97.74432,0.0,0.0,446.625,204.75,1993.0,8.627451,-9.5390625,0.27105713,123.70465,18828.78,19091.46,1100.0834,499.89316,48.514854,48.027374,0.0,3.99246,3.0,62.64801,16.189058,9.374988,6.7499914,2.844,0.0,-20.585938,0.22259521,0.0,0.0,0.0,0.0,0.0,1.0029297,1.0,56.90918,3.9062495,115.47323,125.12107,0.0,86.99999,45.507812,1.0,116.698135,124.46749,482.25,649.875,0.06896838,204.09375,0.0,222.0,65.82237,41.99998,72.29004,1.0,38.46,66.78125,0.74157715,10.192871,70.95947,80.43671,2.644043,-9.997559,0.0,37.12,38.55,1.4300003,-5.69,0.0,0.0,0.0,0.0,0.0,0.0,7.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.609407,0
886.263,1.4497441,2.204822,0.61237067,0.68009806,91.83122,0.0,14.485076,3.4299114,296.7955,82.99613,0.0,97.74432,0.0,0.0,446.625,204.75,1964.0,8.627451,-9.421875,0.2701416,123.79586,18891.928,19091.992,1100.0834,499.89316,48.599632,48.090958,0.0,3.9752178,3.0,63.067627,16.1491,8.999989,6.7499914,2.844,0.0,-20.429688,0.22021484,0.0,0.0,0.0,0.0,0.0,0.99902344,1.0,56.895447,3.9062495,115.756294,125.93233,0.0,86.99999,45.80078,1.0,116.9303,125.19717,482.25,649.875,0.2114247,205.03125,0.0,223.65625,64.888725,41.99998,72.29614,1.0,38.37,66.0625,0.8514404,15.924072,72.32056,87.65106,2.8100586,-9.997559,0.0,37.2,38.78,1.579998,-5.52,0.0,-0.16,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.259407,0
886.283,1.3997953,2.2131789,0.6130053,0.68047965,91.83122,0.0,14.463772,3.4709778,298.95862,82.38456,0.0,97.74432,0.0,0.0,445.875,204.375,1954.0,8.627451,-9.0390625,0.26739502,123.58857,18911.033,19113.75,1100.0834,499.89316,48.832775,48.19693,0.0,4.1176744,3.0,63.215637,16.113136,8.999989,6.374992,2.92,0.0,-19.867188,0.22113037,0.0,0.0,0.0,0.0,0.0,0.9941406,1.0,56.88324,3.9062495,115.77055,125.88408,0.0,86.99999,46.38672,1.0,116.98004,125.30496,481.5,649.875,0.16913976,204.84375,0.0,223.96875,65.35555,41.99998,72.17407,1.0,38.64,66.34375,0.97351074,19.769287,72.72339,91.96625,2.956543,-9.997559,0.0,37.37,38.91,1.5400009,-5.54,0.0,0.32,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.800032,0
