Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),WG modifier (%),Active (),Slowest Wheel (km/h),Fastest Wheel (km/h),Wheel Slip (km/h),P (),I (),D (),PID (),WG pull (%),Ignition pull (km/h),Slip ramp (km/h),Slip target (km/h),RPM Limit Off (rpm),RPM Limit Soft (rpm),RPM Limit Medium (rpm),RPM Limit Hard (rpm),Cut type (rpm),Cut pattern (rpm),Cut position (rpm),Wheel Angle (),DSG Torque (nm),Input Shaft 1 (rpm),Input Shaft 2 (rpm),Clutch 1 Press (bar),Clutch 2 Press (bar),Clutch 1 Current (mA),Clutch 2 Current (mA),Clutch 1 Torque (nm),Clutch 2 Torque (nm),Trans Temp (°C),SimosTools [R1.00:2023_3_5:SL 29.33 HSL CBRICK SWG is38 - moar timing 2.bin]
1033.318,-0.22324473,-0.06083004,0.19951107,0.19910376,93.796814,-15.037595,14.681297,-6.3273587,0.0,0.0,0.0,99.99999,0.0,0.0015258789,456.0,216.0,1845.0,21.176472,-10.203125,0.07525635,97.44467,10499.879,10610.259,1100.0834,499.89316,0.0,12.9924,0.0,-6.09458,6.0,24.398804,-10.526279,21.749971,17.999977,1.112,0.0,-20.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.98828125,1.0009766,55.064392,-0.78124607,50.03539,49.996864,0.0,82.99998,12.5,1.0,98.81282,74.73357,468.375,649.875,-5.344419,47.6875,0.0,44.6875,7.0023804,28.99998,26.739502,1.0,98.0,0.0,0.0,-73.48633,48.638916,0.0,3.3789062,-14.251709,0.0,97.59,98.06,0.47000122,-5.55,0.0,-0.24,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1849.0,1832.0,0.09,3.13,0.9,512.9,-600.0,37.65,0.0,0
1033.34,-0.21859577,-0.08058202,0.19480853,0.19901896,93.79593,-15.037595,14.677299,-6.348648,0.0,0.0,0.0,99.84962,0.0,0.0,456.0,216.0,1845.0,21.176472,-10.1875,0.07525635,97.44467,10495.634,10520.045,1100.0834,499.89316,0.0,13.310323,0.0,-6.125665,6.0,23.739624,-10.526283,21.749971,17.999977,1.112,0.0,-20.179688,0.0,0.0,0.0,0.0,0.0,0.0,0.9892578,1.0009766,55.09796,-0.78124726,49.602215,50.38717,0.0,82.99998,12.5,1.0,99.84929,74.73357,468.375,649.875,-5.369285,46.96875,0.0,44.59375,7.0023804,28.99998,27.79541,1.0,98.01,0.0,0.0,-76.19934,48.638916,0.0,3.3789062,-14.251709,0.0,97.43,98.01,0.58000183,-5.44,0.0,-0.32,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1849.0,1832.0,0.09,3.13,0.9,495.2,-600.0,34.5,0.0,0
1033.36,-0.19487661,-0.08848281,0.19604133,0.19910376,93.795135,-15.037595,14.66864,-6.4113765,0.0,0.0,0.0,99.72932,0.0,0.0,456.0,216.0,1844.0,21.176472,-10.1796875,0.07525635,97.44467,10493.511,10512.085,1100.0834,499.89316,0.0,13.331517,0.0,-6.1505322,6.0,23.365784,-10.526287,21.749971,17.999977,1.112,0.0,-20.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.9873047,1.0009766,55.10559,-0.7812481,49.734352,50.282616,0.0,82.99998,12.5,1.0,100.023415,74.73357,468.375,649.875,-5.3891783,46.28125,0.0,44.5,7.0023804,28.99998,28.00293,1.0,97.95,0.0,0.0,-77.73132,48.669434,0.0,3.3789062,-14.251709,0.0,97.28,97.94,0.66000366,-5.36,0.0,0.4,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1849.0,1832.0,0.09,3.13,0.9,495.2,-600.0,34.5,0.0,0
1033.381,-0.1759013,-0.091643125,0.19546586,0.19906136,93.79442,-15.037595,14.668439,-6.3921022,0.0,0.0,0.0,99.63308,0.0,0.0,456.0,216.0,1844.0,21.176472,-10.2109375,0.0758667,97.46955,10329.533,10539.149,1100.0834,499.89316,0.67823297,13.246738,0.0,-6.1704264,6.0,25.260925,-10.526291,21.749971,17.999977,1.076,0.0,-20.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.9873047,1.0009766,55.081177,-0.7812486,50.04135,50.660606,0.0,82.99998,12.5,1.0,99.119606,74.73357,468.375,649.875,-5.4050927,45.84375,0.0,44.59375,7.0023804,28.99998,26.794434,1.0,97.94,0.0,0.0,-75.15259,48.69995,0.0,3.3789062,-14.251709,0.0,97.71,97.99,0.27999878,-5.74,0.0,-0.72,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1849.0,1835.0,0.09,3.07,0.9,495.2,-600.0,34.5,0.0,0
1033.4,-0.18072104,-0.09290725,0.19644,0.19906136,93.79378,-15.037595,14.6800165,-6.3474708,0.0,0.0,0.0,99.55609,0.0,0.0,456.0,216.375,1843.0,21.176472,-10.203125,0.0758667,97.46126,10281.772,10448.935,1100.0834,499.89316,0.14836347,13.03479,0.0,-6.1863413,6.0,24.772644,-10.526293,21.749971,18.374977,1.076,0.0,-20.601562,0.0,0.0,0.0,0.0,0.0,0.0,0.9873047,1.0009766,55.081177,-0.78124905,50.155125,50.60999,0.0,82.99998,12.5,1.0,99.376656,74.73357,468.375,649.875,-5.5740743,46.46875,0.0,44.59375,7.0023804,28.99998,26.281738,1.0,97.98,0.0,0.0,-74.81079,48.69995,0.0,3.3789062,-14.251709,0.0,97.43,98.37,0.94000244,-5.08,0.0,0.72,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1849.0,1835.0,0.09,3.07,0.9,495.2,-600.0,34.5,0.0,0
1033.42,-0.16457683,-0.093412906,0.19627465,0.19910376,93.7932,-15.037595,14.676402,-6.330881,0.0,0.0,0.0,99.4945,0.0,0.0,456.0,216.375,1845.0,21.176472,-10.2265625,0.0758667,97.46126,10290.794,10358.721,1100.0834,499.89316,0.0,12.695674,0.0,-6.3553233,6.0,23.67096,-10.526295,21.749971,18.374977,1.076,0.0,-20.617188,0.0,0.0,0.0,0.0,0.0,0.0,0.9892578,1.0009766,55.012512,-0.78124934,50.155876,50.706894,0.0,82.99998,12.5,1.0,99.45957,74.73357,468.375,649.875,-5.7092595,46.375,0.0,44.59375,7.0023804,28.99998,26.00708,1.0,98.22,0.0,0.0,-74.94202,48.638916,0.0,3.3789062,-14.251709,0.0,97.56,97.94,0.38000488,-5.64,0.0,-0.24,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1849.0,1835.0,0.09,3.07,0.9,497.9,-600.0,32.7,0.0,0
1033.44,-0.17166147,-0.09361517,0.19451621,0.19918853,93.79268,-15.037595,14.673872,-6.3306966,0.0,0.0,0.0,99.44523,0.0,0.0,456.375,216.375,1844.0,21.176472,-10.2578125,0.0758667,97.46126,10307.775,10268.506,1100.0834,499.89316,0.0,12.928816,0.0,-6.490509,6.0,23.26355,-10.526297,21.749971,18.374977,1.076,0.0,-20.539062,0.0,0.0,0.0,0.0,0.0,0.0,0.9902344,1.0009766,55.047607,-0.7812495,49.856026,50.702736,0.0,82.99998,12.5,1.0,99.43469,74.73357,468.375,649.875,-5.8174076,45.65625,0.0,44.59375,7.0023804,28.99998,25.549316,1.0,97.92,0.0,0.0,-74.78638,48.669434,0.0,3.3789062,-14.251709,0.0,97.51,98.01,0.5,-5.52,0.0,0.08,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1849.0,1835.0,0.09,3.07,0.9,497.9,-600.0,32.7,0.0,0
1033.461,-0.15732917,-0.09369607,0.19653389,0.19910376,93.79304,-15.037595,14.666242,-6.37425,0.0,0.0,0.0,99.40581,0.0,0.0,456.375,216.0,1844.0,21.176472,-10.2421875,0.0758667,97.46955,10254.178,10412.849,1100.0834,499.89316,0.0,13.204349,0.0,-6.598657,6.0,22.854614,-10.5262985,21.749971,17.999977,1.076,0.0,-20.507812,0.0,0.0,0.0,0.0,0.0,0.0,0.98828125,1.0009766,55.081177,-0.78124964,49.807407,50.282616,0.0,82.99998,12.5,1.0,99.20252,74.74186,468.375,649.875,-5.9039264,46.46875,0.0,44.5,7.0023804,28.99998,25.189209,1.0,98.03,0.0,0.0,-74.279785,48.675537,0.0,3.3789062,-14.251709,0.0,97.48,97.99,0.5099945,-5.51,0.0,0.08,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1846.0,1835.0,0.1,3.03,0.9,497.9,-600.0,32.7,0.0,0
1033.479,-0.16586334,-0.09372843,0.19847463,0.19961245,93.793365,-15.037595,14.6667595,-6.381351,0.0,0.0,0.0,99.374275,0.0,0.0,456.375,216.0,1845.0,21.176472,-10.2265625,0.076171875,97.46955,10151.758,10500.94,1100.0834,499.89316,2.7129319,13.225543,0.0,-6.685176,6.0,26.124573,-10.5263,21.749971,17.999977,1.076,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892578,1.0009766,55.09796,-0.78124976,49.818943,50.037514,0.0,82.99998,12.5,1.0,99.119606,74.74186,468.375,649.875,-5.973141,47.28125,0.0,44.59375,7.0023804,28.99998,24.945068,1.0,97.98,0.0,0.0,-74.06006,48.64502,0.0,3.3789062,-14.251709,0.0,97.43,98.14,0.7099991,-5.31,0.0,0.24,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1846.0,1835.0,0.1,3.03,0.9,497.9,-600.0,32.7,0.0,0
1033.499,-0.17269066,-0.11249138,0.19880472,0.1988918,93.793655,-15.037595,14.672981,-6.3797197,0.0,0.0,0.0,99.349045,0.0,0.0,456.375,216.0,1845.0,21.176472,-10.2578125,0.076171875,97.46955,10124.163,10509.432,1100.0834,499.89316,4.5780725,13.161959,0.0,-6.7543907,6.0,27.293396,-10.526302,21.749971,17.999977,1.076,0.0,-19.648438,0.0,0.0,0.0,0.0,0.0,0.0,0.9902344,1.0009766,55.09796,-0.7812498,49.74124,49.781387,0.0,82.99998,12.5,1.0,99.13619,74.74186,468.375,649.875,-6.028513,47.375,0.0,44.59375,7.0023804,28.99998,24.743652,1.0,98.11,0.0,0.0,-73.99902,48.64502,0.0,3.3789062,-14.251709,0.0,97.51,97.99,0.47999573,-5.54,0.0,-0.24,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15312529,0.0,1846.0,1835.0,0.1,3.03,0.9,495.9,-600.0,30.4,0.0,0
