Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),WG modifier (%),Active (),Slowest Wheel (km/h),Fastest Wheel (km/h),Wheel Slip (km/h),P (),I (),D (),PID (),WG pull (%),Ignition pull (km/h),Slip ramp (km/h),Slip target (km/h),RPM Limit Off (rpm),RPM Limit Soft (rpm),RPM Limit Medium (rpm),RPM Limit Hard (rpm),Cut type (rpm),Cut pattern (rpm),Cut position (rpm),Wheel Angle (),SimosTools [R1.00:2023_3_6:SL 29.33 HSL CBRICK SWG is38 - moar timing 3.bin]
2107.733,-0.005883054,-0.06252515,0.20608333,0.2104218,94.32754,-10.526308,14.610304,-5.873961,0,0,0,97.744385,2,0,455.625,217.125,2030,21.176472,-9.375,0.08331299,98.5226,10948.297,10987.036,1100.0834,499.89316,6.2100706,14.815152,0,-7.827033,4,28.326416,-6.0158668,20.249973,19.124975,1.184,0,-22.679688,0.009338379,0,0,0,0,0,0.98535156,1.0009766,54.96216,-0.94509625,53.984535,54.777287,0,101.999985,13.4765625,1,96.391624,75.164734,470.25,649.875,-6.8556237,50.90625,0,50.15625,8.869681,37.999966,21.258545,1,86.24,2.8125,0,-67.022705,44.87915,0,3.3691406,-12.976074,0,85.72,86.22,0.5,-5.57,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
2107.752,-0.0047064433,-0.062510066,0.20697093,0.21237169,94.327484,-10.526308,14.598307,-5.852834,0,0,0,97.744385,2,0,455.625,217.125,2032,21.176472,-9.375,0.08331299,98.54748,11048.063,10971.116,1100.0834,499.89316,6.082902,14.836347,0,-7.80072,4,28.451538,-6.015784,19.874975,19.124975,1.184,0,-22.578125,0.011108398,0,0,0,0,0,0.98828125,1.0009766,54.96216,-0.8959424,54.14794,55.12176,0,101.999985,13.671875,1,96.391624,75.164734,470.25,649.875,-6.890749,51.15625,0,51.1875,8.869681,37.999966,21.209717,1,86.39,3.34375,0,-66.989136,44.848633,0,3.3691406,-12.976074,0,85.86,86.26,0.40000153,-5.67,0,-0.64,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
2107.772,-0.0037651546,-0.06250403,0.20796216,0.21508461,94.32744,-10.526308,14.595768,-5.829121,0,0,0,97.744385,2,0,455.625,217.125,2033,21.176472,-9.4296875,0.08392334,98.59723,11098.478,11033.735,1100.0834,499.89316,4.9595785,14.921125,0,-7.786691,4,27.76947,-6.015709,19.874975,19.124975,1.184,0,-22.5625,0.013183594,0,0,0,0,0,0.9902344,1.0009766,54.96826,-0.86153466,54.180298,55.48172,0,101.999985,13.8671875,1,96.391624,75.164734,470.25,649.875,-6.7625995,51.625,0,52.1875,8.869681,37.999966,21.19751,1,86.2,3.96875,0,-66.96472,44.836426,0,3.3691406,-12.976074,0,86.05,86.2,0.1499939,-5.92,0,-0.48,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
2107.793,-0.0030121238,-0.06250162,0.20785722,0.21758561,94.32739,-10.526308,14.588131,-5.8244205,0,0,0,97.744385,2,0,455.625,217.125,2050,21.176472,-9.421875,0.083984375,98.6221,11158.443,11046.472,1100.0834,499.89316,5.3834743,14.963515,0,-7.624134,4,28.178406,-6.0156417,19.874975,19.124975,1.184,0,-22.609375,0.016784668,0,0,0,0,0,0.99316406,1.0009766,54.9881,-0.83744925,54.14531,55.929695,0,101.999985,14.0625,1,96.391624,75.164734,470.25,649.875,-6.6600795,51.5625,0,53.15625,8.869681,37.999966,21.19751,1,86.13,5.03125,0,-66.882324,44.56787,0,3.3691406,-12.976074,0,85.74,86.2,0.45999908,-5.61,0,0.16,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
2107.812,-0.0024096991,-0.08125065,0.20888516,0.220892,94.328186,-10.526308,14.576926,-5.8296113,0,0,0,97.59401,2,0,455.625,217.5,2062,21.176472,-9.40625,0.084350586,98.680145,11210.9795,11155.26,1100.0834,499.89316,4.472099,15.090684,0,-7.4975286,4,27.656555,-6.015581,19.874975,19.499975,1.184,0,-22.65625,0.020324707,0,0,0,0,0,0.99316406,1.0009766,55.00641,-0.8205895,54.28799,56.512794,0,101.999985,14.2578125,1,96.391624,75.17303,470.25,649.875,-6.5780635,52.15625,0,54.3125,8.869681,37.999966,21.472168,1,86.22,6.09375,0,-66.882324,44.384766,0,3.3691406,-12.976074,0,85.74,86.22,0.48000336,-5.59,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
2107.832,-0.0019277594,-0.088750266,0.21112578,0.22254519,94.32889,-10.526308,14.59252,-5.8090134,0,0,0,97.47371,2,0,455.25,217.5,2080,21.176472,-9.4375,0.08496094,98.73819,11213.103,11319.768,1100.0834,499.89316,7.3969784,15.51458,0,-7.398653,4,29.632568,-6.015527,19.874975,19.499975,1.192,0,-22.640625,0.0234375,0,0,0,0,0,0.99316406,1.0009766,55.02014,-0.80878764,54.685608,56.824814,0,101.999985,14.453125,1,96.35846,75.17303,470.25,649.875,-6.5124507,52.5625,0,55.21875,9.336507,37.999966,21.868896,1,86.45,7.03125,0,-66.763306,44.104004,0,3.3691406,-12.976074,0,85.82,86.22,0.40000153,-5.67,0,-0.8,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
2107.852,-0.0015422076,-0.11050011,0.21385956,0.22415599,94.32953,-10.526308,14.591717,-5.7514215,0,0,0,97.37746,2,0,455.25,217.5,2087,21.176472,-9.4296875,0.08502197,98.77965,11268.292,11484.276,1100.0834,499.89316,9.113756,15.726527,0,-7.3212385,4,30.915833,-6.0154777,19.874975,19.499975,1.192,0,-22.6875,0.0256958,0,0,0,0,0,0.9921875,1.0009766,55.082703,-0.8005263,55.18982,57.074528,0,101.999985,14.550781,1,96.391624,75.17303,470.25,649.875,-6.4599605,54.21875,0,55.8125,9.336507,37.999966,22.125244,1,86.15,7.71875,0,-66.86401,43.99414,0,3.3691406,-12.976074,0,85.93,86.18,0.25,-5.82,0,-0.32,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
2107.873,-0.0012337661,-0.11920005,0.21792172,0.22530049,94.33011,-10.526308,14.597014,-5.678356,0,0,0,97.30046,2,0,455.25,217.5,2094,21.176472,-9.4140625,0.08569336,98.85427,11366.997,11648.784,1100.0834,499.89316,9.050171,15.832501,0,-7.2604866,4,31.051636,-6.015434,19.874975,19.499975,1.192,0,-22.703125,0.027160645,0,0,0,0,0,0.9921875,1.0009766,55.114746,-0.7947434,55.954678,57.338573,0,101.999985,14.746094,1,96.35846,75.17303,470.25,649.875,-6.4179683,55.9375,0,56.84375,9.803332,37.999966,22.332764,1,86.08,8.15625,0,-66.744995,43.884277,0,3.3691406,-12.976074,0,85.82,86.18,0.3600006,-5.71,0,0.08,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
2107.892,-9.870129E-4,-0.12268002,0.22137928,0.22449511,94.33063,-10.526308,14.600722,-5.5674677,0,0,0,97.23886,2,0,454.875,217.5,2110,21.176472,-9.40625,0.08544922,98.97036,11607.392,11813.293,1100.0834,499.89316,9.643625,16.214006,0,-7.212712,4,31.903076,-6.015394,19.874975,19.499975,1.232,0,-22.71875,0.028320312,0,0,0,0,0,0.99316406,1.0009766,55.158997,-0.79069537,56.457138,57.05854,0,101.999985,14.746094,1,96.391624,75.17303,470.625,649.875,-6.3843746,57.46875,0,56.84375,9.803332,37.999966,22.296143,1,86.26,8.5,0,-66.86401,43.634033,0,3.3691406,-12.976074,0,85.74,86.18,0.44000244,-5.63,0,-0.24,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
2107.912,-7.896103E-4,-0.124072015,0.22168802,0.22725041,94.33026,-10.526308,14.591599,-5.494519,0,0,0,97.18959,2,0,454.875,217.5,2117,21.176472,-9.390625,0.08557129,99.069855,11714.588,11980.454,1100.0834,499.89316,10.59739,16.214006,0,-7.17507,4,32.765198,-6.0153584,19.499975,19.499975,1.232,0,-23.015625,0.030944824,0,0,0,0,0,0.9941406,1.0009766,55.184937,-0.78786176,57.06025,58.06277,0,101.999985,14.941406,1,96.40821,75.164734,470.625,649.875,-6.3574996,57.5625,0,57.84375,9.803332,37.999966,22.668457,1,86.24,9.28125,0,-66.86401,43.52417,0,3.3691406,-12.976074,0,85.69,86.37,0.6800003,-5.39,0,0.4,0,0,0,0,6.07,0,0,0,0,0,0,0,0.50312597,0
