Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),WG modifier (%),Active (),Slowest Wheel (km/h),Fastest Wheel (km/h),Wheel Slip (km/h),P (),I (),D (),PID (),WG pull (%),Ignition pull (km/h),Slip ramp (km/h),Slip target (km/h),RPM Limit Off (rpm),RPM Limit Soft (rpm),RPM Limit Medium (rpm),RPM Limit Hard (rpm),Cut type (rpm),Cut pattern (rpm),Cut position (rpm),Wheel Angle (),SimosTools [R1.00:2023_3_4:SL 29.33 HSL CBRICK SWG is38 - moar timing.bin]
645.719,-0.2930841,0.44699872,0.4425434,0.44165686,92.76674,-8.27067,14.6978655,-0.27950168,237.68048,78.9378,0.0,99.99999,0.0,0.0,447.75,210.375,2444.4145000000003,17.254902,-8.015625,0.10748291,106.73973,17357.756,17253.744,1100.0834,499.89316,20.452963,35.713207,0.0,4.698164,5.0,46.037292,-5.1615896,16.499979,12.374984,2.244,0.0,-24.953125,0.26428223,0.0,0.0,0.0,0.0,0.0,0.9921875,0.9980469,56.678772,-1.5624998,90.833755,90.71476,0.0,87.99663,31.738281,1.0,105.44622,90.9854,480.0,649.875,6.258531,147.5625,0.0,145.75,20.540316,31.999992,48.73047,1.0,100.38,79.28125,0.0,-43.12439,46.783447,0.07171631,0.6201172,-12.341309,0.0,99.65,100.42,0.76999664,-5.41,0.0,-0.4,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
645.738,-0.2944673,0.4412995,0.4428157,0.44161442,92.76605,-8.27067,14.706474,-0.28033182,231.51797,76.858635,0.0,99.99999,0.0,0.0,447.75,210.375,2438.5273,17.254902,-7.9140625,0.107543945,106.75631,17268.072,17276.562,1100.0834,499.89316,21.639872,35.840374,0.0,4.6960316,5.0,46.673584,-5.1717463,16.499979,12.374984,2.236,0.0,-24.929688,0.26434326,0.0,0.0,0.0,0.0,0.0,0.9941406,0.9980469,56.684875,-1.5624998,90.835945,90.7189,0.0,87.99696,31.738281,1.0,105.35501,90.9854,480.0,649.875,6.256825,147.6875,0.0,145.75,20.540316,31.999992,48.553467,1.0,100.44,79.3125,0.0,-42.88025,46.765137,0.2975464,0.6201172,-12.341309,0.0,99.41,100.5,1.0899963,-5.09,0.0,0.4,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
645.759,-0.31557384,0.4390198,0.4425436,0.44161442,92.765434,-8.27067,14.700782,-0.2799245,231.56549,76.906906,0.0,99.99999,0.0,0.0,447.75,210.375,2442.4521,17.254902,-7.8828125,0.107543945,106.772896,17287.707,17281.338,1100.0834,499.89316,21.491508,35.882763,0.0,4.6943254,5.0,46.59424,-5.180887,16.499979,12.374984,2.236,0.0,-24.96875,0.26434326,0.0,0.0,0.0,0.0,0.0,0.9951172,0.9980469,56.684875,-1.5624998,90.85945,90.76222,0.0,87.99727,31.738281,1.0,105.363304,91.00198,480.0,649.875,6.2554603,147.5625,0.0,145.75,20.540316,31.999992,48.64502,1.0,100.5,79.3125,0.0,-42.53235,46.77124,0.6515503,0.6201172,-12.341309,0.0,99.57,100.64,1.0699997,-5.11,0.0,0.56,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
645.778,-0.31245908,0.43810794,0.44316748,0.44169927,92.76571,-8.27067,14.696797,-0.27655414,231.63531,76.9301,0.0,99.99999,0.0,0.0,447.75,210.375,2443.188,17.254902,-8.0390625,0.107543945,106.7646,17294.074,17270.195,1100.0834,499.89316,21.300755,35.840374,0.0,4.6929607,5.0,46.58203,-5.1891146,16.499979,12.374984,2.232,0.0,-24.960938,0.2647705,0.0,0.0,0.0,0.0,0.0,0.9951172,0.9980469,56.684875,-1.5624998,90.83749,90.653824,0.0,87.99754,31.738281,1.0,105.30526,90.9854,480.0,649.875,6.2543683,147.78125,0.0,145.71875,20.540316,31.999992,48.571777,1.0,100.6,79.4375,0.0,-42.504883,46.746826,0.642395,0.6152344,-12.341309,0.0,99.6,100.55,0.9500046,-5.23,0.0,-0.08,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
645.8,-0.30996725,0.4377432,0.44299102,0.44165686,92.76595,-8.27067,14.711586,-0.2797762,231.72952,76.9939,0.0,99.99999,0.0,0.0,447.75,210.375,2446.3769,17.254902,-8.1484375,0.107543945,106.7646,17274.97,17254.805,1100.0834,499.89316,21.385534,35.840374,0.0,4.691869,5.0,46.514893,-5.196519,16.499979,12.374984,2.232,0.0,-24.976562,0.26428223,0.0,0.0,0.0,0.0,0.0,0.99609375,0.9980469,56.680298,-1.5624998,90.85722,90.75484,0.0,87.99779,31.738281,1.0,105.30526,90.99369,480.0,649.875,6.2534947,147.46875,0.0,145.75,20.540316,31.999992,48.40088,1.0,100.5,79.28125,0.0,-42.144775,46.783447,1.0513306,0.6152344,-12.341309,0.0,99.73,100.57,0.83999634,-5.34,0.0,0.08,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
645.82,-0.2879738,0.4563473,0.4424722,0.44169927,92.766174,-8.27067,14.710219,-0.27694488,231.63531,76.9301,0.0,99.99999,0.0,0.0,447.75,210.375,2445.1504000000004,17.254902,-8.46875,0.107543945,106.79777,17353.51,17225.088,1100.0834,499.89316,20.474157,35.564842,0.0,4.690995,5.0,46.151733,-5.203183,16.499979,12.374984,2.232,0.0,-24.929688,0.26446533,0.0,0.0,0.0,0.0,0.0,0.99609375,0.9980469,56.677246,-1.5624998,90.83739,90.72165,0.0,87.99801,31.738281,1.0,105.205765,90.99369,480.0,649.875,6.2527957,147.75,0.0,145.75,20.540316,31.999992,48.45581,1.0,100.55,79.34375,0.0,-42.178345,46.75293,0.98724365,0.6152344,-12.341309,0.0,99.68,100.34,0.65999603,-5.52,0.0,-0.48,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
645.838,-0.29037902,0.46378893,0.4417075,0.4416992,92.76637,-8.27067,14.715122,-0.27985147,237.94891,79.06033,0.0,99.99999,0.0,0.0,447.75,210.375,2442.4521,17.254902,-8.546875,0.107543945,106.7646,17283.46,17241.008,1100.0834,499.89316,20.919249,35.628426,0.0,4.690296,5.0,46.3562,-5.209181,16.499979,12.374984,2.232,0.0,-24.914062,0.2647705,0.0,0.0,0.0,0.0,0.0,0.9941406,0.9980469,56.680298,-1.5624998,90.82367,90.80291,0.0,87.99821,31.738281,1.0,105.18917,91.00198,480.0,649.875,6.252237,147.25,0.0,145.75,20.540316,31.999992,48.41919,1.0,100.36,79.4375,0.0,-42.077637,46.73462,1.0635376,0.6152344,-12.341309,0.0,99.57,100.5,0.9300003,-5.25,0.0,-0.64,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
645.858,-0.2923032,0.46676558,0.44180483,0.44165686,92.76655,-8.27067,14.700976,-0.28186703,237.70573,79.01289,0.0,99.99999,0.0,0.0,447.75,210.375,2446.3769,17.254902,-8.3671875,0.107543945,106.78948,17309.465,17221.904,1100.0834,499.89316,20.38938,35.50126,0.0,4.6897373,5.0,45.970154,-5.2145786,16.499979,12.374984,2.232,0.0,-24.875,0.2640381,0.0,0.0,0.0,0.0,0.0,0.9941406,0.9980469,56.67267,-1.5624998,90.82835,90.78308,0.0,87.99839,31.738281,1.0,105.13943,91.01856,480.0,649.875,6.2517896,147.3125,0.0,145.75,20.540316,31.999992,48.309326,1.0,100.48,79.21875,0.0,-41.766357,46.795654,1.4297485,0.6152344,-12.341309,0.0,99.73,100.59,0.859993,-5.32,0.0,0.08,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
645.878,-0.31384256,0.44920623,0.4418723,0.44165683,92.76753,-8.27067,14.696934,-0.2813313,237.912,78.981316,0.0,99.99999,0.0,0.0,447.75,210.375,2445.1504000000004,17.254902,-8.3359375,0.107543945,106.79777,17399.148,17219.25,1100.0834,499.89316,18.460653,35.50126,0.0,4.68929,5.0,45.004272,-5.2194366,16.499979,12.374984,2.232,0.0,-24.859375,0.26464844,0.0,0.0,0.0,0.0,0.0,0.99316406,0.9980469,56.669617,-1.5624998,90.80233,90.79362,0.0,87.99855,31.738281,1.0,105.10626,91.01856,480.0,649.875,6.251432,147.3125,0.0,145.71875,20.540316,31.999992,48.291016,1.0,100.62,79.40625,0.0,-41.622925,46.722412,1.512146,0.6152344,-12.341309,0.0,99.68,100.58,0.9000015,-5.28,0.0,0.0,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
645.899,-0.33107406,0.4421825,0.4425689,0.44165683,92.76842,-8.27067,14.699963,-0.28523406,231.7082,77.051834,0.0,99.99999,0.0,0.0,448.125,210.375,2443.188,17.254902,-8.2734375,0.107543945,106.772896,17348.734,17236.762,1100.0834,499.89316,19.20247,35.564842,0.0,4.6889324,5.0,45.413208,-5.2238092,16.499979,12.374984,2.224,0.0,-24.804688,0.2647705,0.0,0.0,0.0,0.0,0.0,0.9941406,0.9980469,56.677246,-1.5624998,90.80284,90.72523,0.0,87.998695,31.738281,1.0,105.10626,91.01856,480.0,649.875,6.251146,147.59375,0.0,145.75,20.540316,31.999992,48.309326,1.0,100.6,79.4375,0.0,-41.537476,46.722412,1.5853882,0.6152344,-12.341309,0.0,99.6,101.0,1.4000015,-4.78,0.0,1.04,0.0,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.050002,0
